User_Message,Response,Intent
Can diploma holders apply for degree?,Yes via credit transfer if eligible.,credit_transfer_option
Can I skip foundation programme?,Yes if you meet direct entry requirements.,direct_entry_eligibility
What is foundation programme?,Pre-university preparation course.,pre_university_course
Is attendance monitored?,Yes attendance is tracked.,attendance_tracking
Can I study online?,Some programmes may offer online mode.,online_study_mode_option
Are exams online or physical?,Depends on programme and situation.,programme_delivery_mode
How many semesters per year?,Usually 2–3 semesters.,programme_duration
What is credit hour?,Unit measuring course workload.,credit_hour_definition
Can I repeat failed subjects?,Yes you can retake subjects.,subject_retake_policy
Is there academic advisor?,Yes students are assigned advisors.,academic_advisor_assignment
What support services available?,Counselling career academic support.,student_support_services
Is there career guidance?,Yes career services available.,career_services_availability
Can I join clubs?,Yes many student clubs available.,student_clubs_info
Is there sports facility?,Yes sports facilities provided.,sports_facilities
Is campus WiFi available?,Yes free WiFi for students.,campus_wifi
Are there libraries?,Yes with study resources.,library_resources
What transport options available?,Public transport and parking available.,transport_and_parking
Is parking available?,Yes for students and staff.,campus_health_services
Are food facilities available?,Yes cafeterias and food stalls.,cafeteria_food_options
Is campus safe?,Yes security services provided.,campus_security
Can I work while studying?,Yes part-time work allowed.,part_time_work
Is internship compulsory?,For many programmes yes.,internship_availability
How long is internship?,Depends on programme requirement.,industrial_training_requirement
Do you provide job placement?,Career services assist job search.,job_search_support
Can I study abroad?,Exchange programmes may be available.,student_exchange_programme
Is there dual degree?,Depends on programme availability.,programme_availability
Are classes in English?,Most programmes are taught in English.,medium_of_instruction
Do I need MUET/IELTS?,Required for some programmes.,english_requirement
What is minimum English requirement?,Depends on programme.,additional_entry_requirements
Can I retake English test?,Yes you can improve and resubmit.,resubmission_option
How to contact lecturer?,Through email or portal.,student_communication_channel
Can I access lecture materials online?,Yes via student portal.,portal_usage_student
Is attendance graded?,May contribute to marks.,coursework_assessment
What is CGPA passing mark?,Usually 2.0 and above.,minimum_gpa_requirement
Can I appeal results?,Yes within given period.,appeal_process
Is graduation ceremony compulsory?,Optional but encouraged.,club_participation
When do I graduate?,After completing all requirements.,graduation_requirements
Can I request transcript?,Yes via administration office.,document_request_office
Is alumni network available?,Yes for graduates.,convocation_ceremony
Where to get latest updates?,Official website and portal.,official_information_source
Can I change elective subjects?,Yes with advisor approval.,course_change_with_approval
What is semester break?,Period between semesters.,semester_break_period
Are there orientation programs?,Yes mandatory orientation for new students.,mandatory_orientation
Can I switch lecturers?,Depends on faculty policy.,faculty_policy_variation
Are there guest lectures?,Yes for selected courses.,online_course_availability
Do I need lab coats?,Yes for science and engineering labs.,lab_requirement_science_engineering
What are class timings?,Depends on timetable.,class_schedule_dependency
Are group projects graded?,Yes as part of assessment.,assignment_component
Can I record lectures?,Depends on lecturer permission.,lecture_permission_policy
Is attendance mandatory for labs?,Yes labs require attendance.,lab_attendance_requirement
Can I apply for leave of absence?,Yes via administration approval.,student_status_change
Are medical certificates required?,Yes for sick leave.,medical_leave_document
Can I repeat a course for grade improvement?,Yes depending on programme policy.,attendance_policy_variation
Are textbooks provided?,Students purchase textbooks themselves.,textbook_purchase
Do you provide online lectures?,Yes via portal for some courses.,online_registration_courses
Can I attend workshops?,Yes workshops are organized by faculties.,faculty_workshops
Are there study groups?,Yes student-formed groups exist.,student_group_activity
Can I request extra tutoring?,Yes subject to availability.,support_service_availability
How to access exam results?,Through student portal.,result_access_portal
Are exam schedules provided in advance?,Yes via portal and notice boards.,academic_notice_board
